id;manv;hoten;ngaysinh;gioitinh;quequan;diachi;hsluong;msthue
1;forenenst ouch;anime narrow;2025-04-12T22:39:44;reverberate duh along;extremely slob;suburb after optimistic;19174.7;8195
2;doting trash;arid;2025-04-13T03:44:28;underspend provided;while granular noisy;snappy over;13812.83;5651
3;judgementally yum;alongside generally woot;2025-04-12T20:31:59;than unbearably;amongst unethically supreme;yowza;24597.4;23801
4;swift;eek;2025-04-13T08:35:36;front unlike;rusty;ha meh;5939.86;17607
5;however;deeply though inasmuch;2025-04-12T21:03:27;er by excited;whereas;storm sag;7219.3;3019
6;fooey;which worth;2025-04-13T04:59:10;lest because extroverted;yahoo;garner safely;8375.55;2434
7;fahrenheit;retrospect raft;2025-04-13T07:05:03;wonderfully;without;concur;19533.89;8070
8;chamber consequently muffle;before string whether;2025-04-12T22:03:46;whenever gee;tee pish;what dole medium;943.87;13581
9;industrialization excited lacquerware;unless near;2025-04-12T13:21:19;bah oddly pleased;brr into;blah after;28129.95;3265
10;pertinent given however;brr blah ew;2025-04-13T05:59:05;furthermore tired round;unto;cover;24848.05;26892
